,answers,question_id,respondent_id,col,row
62,"[{u'col': u'8048409658', u'row': u'8048409661'}]",701546663,3476473331,8048409658,8048409661
63,"[{u'col': u'8048409808', u'row': u'8048409810'}]",701546895,3476473331,8048409808,8048409810
64,"[{u'col': u'8048410163', u'row': u'8048410166'}]",701547461,3476473331,8048410163,8048410166
65,"[{u'col': u'8048410390', u'row': u'8048410393'}]",701547599,3476473331,8048410390,8048410393
66,"[{u'col': u'8048410658', u'row': u'8048410659'}]",701547864,3476473331,8048410658,8048410659
67,"[{u'col': u'8048410866', u'row': u'8048410869'}]",701548022,3476473331,8048410866,8048410869
68,"[{u'col': u'8048411169', u'row': u'8048411171'}]",701548283,3476473331,8048411169,8048411171
69,"[{u'col': u'8048411660', u'row': u'8048411663'}]",701548637,3476473331,8048411660,8048411663
70,"[{u'col': u'8048411979', u'row': u'8048411982'}]",701548849,3476473331,8048411979,8048411982
71,"[{u'col': u'8048412080', u'row': u'8048412082'}]",701549063,3476473331,8048412080,8048412082
72,"[{u'col': u'8048412206', u'row': u'8048412209'}]",701549500,3476473331,8048412206,8048412209
73,"[{u'col': u'8048412428', u'row': u'8048412431'}]",701549775,3476473331,8048412428,8048412431
74,"[{u'col': u'8048412779', u'row': u'8048412782'}]",701549946,3476473331,8048412779,8048412782
75,"[{u'col': u'8048413030', u'row': u'8048413032'}]",701550120,3476473331,8048413030,8048413032
76,"[{u'col': u'8048413517', u'row': u'8048413520'}]",701550328,3476473331,8048413517,8048413520
77,"[{u'col': u'8048413727', u'row': u'8048413730'}]",701550505,3476473331,8048413727,8048413730
78,"[{u'col': u'8048414039', u'row': u'8048414042'}]",701550937,3476473331,8048414039,8048414042
79,"[{u'col': u'8048414250', u'row': u'8048414254'}]",701551109,3476473331,8048414250,8048414254
80,"[{u'col': u'8048414584', u'row': u'8048414586'}]",701551292,3476473331,8048414584,8048414586
81,"[{u'col': u'8048414797', u'row': u'8048414799'}]",701551484,3476473331,8048414797,8048414799
82,"[{u'col': u'8048431681', u'row': u'8048431685'}]",701555541,3476473331,8048431681,8048431685
83,"[{u'col': u'8046208654', u'row': u'8046208657'}]",701555721,3476473331,8046208654,8046208657
84,"[{u'col': u'8046210824', u'row': u'8046210827'}]",701555977,3476473331,8046210824,8046210827
85,"[{u'col': u'8046212220', u'row': u'8046212223'}]",701556123,3476473331,8046212220,8046212223
86,"[{u'col': u'8046215137', u'row': u'8046215141'}]",701556462,3476473331,8046215137,8046215141
87,"[{u'col': u'8046216758', u'row': u'8046216762'}]",701556602,3476473331,8046216758,8046216762
88,[{u'row': u'8050592279'}],701559548,3476473331,,8050592279
89,[{u'row': u'8050595697'}],701568899,3476473331,,8050595697
90,[{u'row': u'8048428305'}],701569440,3476473331,,8048428305
91,[{u'row': u'8046374152'}],701541529,3476261511,,8046374152
92,[{u'row': u'8046074292'}],701542059,3476261511,,8046074292
93,[{u'row': u'8046076812'}],701542308,3476261511,,8046076812
94,[{u'row': u'8046079805'}],701542637,3476261511,,8046079805
95,"[{u'col': u'8048406414', u'row': u'8048406417'}]",701543957,3476261511,8048406414,8048406417
96,"[{u'col': u'8048406789', u'row': u'8048406792'}]",701544253,3476261511,8048406789,8048406792
97,"[{u'col': u'8048407197', u'row': u'8048407198'}]",701544459,3476261511,8048407197,8048407198
98,"[{u'col': u'8048407400', u'row': u'8048407401'}]",701545007,3476261511,8048407400,8048407401
99,"[{u'col': u'8048407847', u'row': u'8048407851'}]",701545279,3476261511,8048407847,8048407851
100,"[{u'col': u'8048407992', u'row': u'8048407995'}]",701545540,3476261511,8048407992,8048407995
101,"[{u'col': u'8048408316', u'row': u'8048408320'}]",701545910,3476261511,8048408316,8048408320
102,"[{u'col': u'8048408630', u'row': u'8048408633'}]",701546058,3476261511,8048408630,8048408633
103,"[{u'col': u'8048408888', u'row': u'8048408891'}]",701546272,3476261511,8048408888,8048408891
104,"[{u'col': u'8048409177', u'row': u'8048409181'}]",701546480,3476261511,8048409177,8048409181
105,"[{u'col': u'8048409658', u'row': u'8048409661'}]",701546663,3476261511,8048409658,8048409661
106,"[{u'col': u'8048409808', u'row': u'8048409810'}]",701546895,3476261511,8048409808,8048409810
107,"[{u'col': u'8048410162', u'row': u'8048410166'}]",701547461,3476261511,8048410162,8048410166
108,"[{u'col': u'8048410390', u'row': u'8048410393'}]",701547599,3476261511,8048410390,8048410393
109,"[{u'col': u'8048410655', u'row': u'8048410659'}]",701547864,3476261511,8048410655,8048410659
110,"[{u'col': u'8048410868', u'row': u'8048410869'}]",701548022,3476261511,8048410868,8048410869
111,"[{u'col': u'8048411170', u'row': u'8048411171'}]",701548283,3476261511,8048411170,8048411171
112,"[{u'col': u'8048411660', u'row': u'8048411663'}]",701548637,3476261511,8048411660,8048411663
113,"[{u'col': u'8048411981', u'row': u'8048411982'}]",701548849,3476261511,8048411981,8048411982
114,"[{u'col': u'8048412079', u'row': u'8048412082'}]",701549063,3476261511,8048412079,8048412082
115,"[{u'col': u'8048412206', u'row': u'8048412209'}]",701549500,3476261511,8048412206,8048412209
116,"[{u'col': u'8048412430', u'row': u'8048412431'}]",701549775,3476261511,8048412430,8048412431
117,"[{u'col': u'8048412777', u'row': u'8048412782'}]",701549946,3476261511,8048412777,8048412782
118,"[{u'col': u'8048413031', u'row': u'8048413032'}]",701550120,3476261511,8048413031,8048413032
119,"[{u'col': u'8048413515', u'row': u'8048413520'}]",701550328,3476261511,8048413515,8048413520
120,"[{u'col': u'8048413725', u'row': u'8048413730'}]",701550505,3476261511,8048413725,8048413730
121,"[{u'col': u'8048414041', u'row': u'8048414042'}]",701550937,3476261511,8048414041,8048414042
122,"[{u'col': u'8048414249', u'row': u'8048414254'}]",701551109,3476261511,8048414249,8048414254
123,"[{u'col': u'8048414585', u'row': u'8048414586'}]",701551292,3476261511,8048414585,8048414586
124,"[{u'col': u'8048431681', u'row': u'8048431685'}]",701555541,3476261511,8048431681,8048431685
125,"[{u'col': u'8046208655', u'row': u'8046208657'}]",701555721,3476261511,8046208655,8046208657
126,"[{u'col': u'8046210826', u'row': u'8046210827'}]",701555977,3476261511,8046210826,8046210827
127,"[{u'col': u'8046212222', u'row': u'8046212223'}]",701556123,3476261511,8046212222,8046212223
128,"[{u'col': u'8046215139', u'row': u'8046215141'}]",701556462,3476261511,8046215139,8046215141
129,"[{u'col': u'8046216761', u'row': u'8046216762'}]",701556602,3476261511,8046216761,8046216762
130,[{u'row': u'8050592275'}],701559548,3476261511,,8050592275
131,"[{u'col': u'8048439315', u'row': u'8048439316'}]",701561036,3476261511,8048439315,8048439316
132,"[{u'col': u'8048420637', u'row': u'8048420638'}]",701561447,3476261511,8048420637,8048420638
133,"[{u'col': u'8048420904', u'row': u'8048420905'}]",701561677,3476261511,8048420904,8048420905
134,"[{u'col': u'8048421263', u'row': u'8048421264'}]",701561901,3476261511,8048421263,8048421264
135,"[{u'col': u'8048421569', u'row': u'8048421570'}]",701562292,3476261511,8048421569,8048421570
136,"[{u'col': u'8048421948', u'row': u'8048421949'}]",701562604,3476261511,8048421948,8048421949
137,"[{u'col': u'8048422198', u'row': u'8048422199'}]",701562849,3476261511,8048422198,8048422199
138,"[{u'col': u'8048422332', u'row': u'8048422333'}]",701564205,3476261511,8048422332,8048422333
139,"[{u'col': u'8048422570', u'row': u'8048422571'}]",701564472,3476261511,8048422570,8048422571
140,"[{u'col': u'8048423517', u'row': u'8048423518'}]",701564776,3476261511,8048423517,8048423518
141,"[{u'col': u'8048424104', u'row': u'8048424105'}]",701565269,3476261511,8048424104,8048424105
142,"[{u'col': u'8048424308', u'row': u'8048424309'}]",701565917,3476261511,8048424308,8048424309
143,"[{u'col': u'8048424724', u'row': u'8048424725'}]",701566191,3476261511,8048424724,8048424725
144,"[{u'col': u'8048425122', u'row': u'8048425123'}]",701566359,3476261511,8048425122,8048425123
145,"[{u'col': u'8048425428', u'row': u'8048425429'}]",701566586,3476261511,8048425428,8048425429
146,"[{u'col': u'8048425570', u'row': u'8048425571'}]",701566927,3476261511,8048425570,8048425571
147,"[{u'col': u'8048425928', u'row': u'8048425929'}]",701567149,3476261511,8048425928,8048425929
148,[{u'row': u'8050595693'}],701568899,3476261511,,8050595693
149,"[{u'col': u'8047383399', u'row': u'8047383400'}]",701568900,3476261511,8047383399,8047383400
150,"[{u'col': u'8047384067', u'row': u'8047384068'}]",701568901,3476261511,8047384067,8047384068
151,"[{u'col': u'8047385081', u'row': u'8047385082'}]",701568902,3476261511,8047385081,8047385082
152,"[{u'col': u'8047386222', u'row': u'8047386223'}]",701568903,3476261511,8047386222,8047386223
153,"[{u'col': u'8047387216', u'row': u'8047387217'}]",701568904,3476261511,8047387216,8047387217
154,"[{u'col': u'8047388291', u'row': u'8047388292'}]",701568905,3476261511,8047388291,8047388292
155,"[{u'col': u'8047390845', u'row': u'8047390846'}]",701568906,3476261511,8047390845,8047390846
156,"[{u'col': u'8047391475', u'row': u'8047391476'}]",701568907,3476261511,8047391475,8047391476
157,"[{u'col': u'8047393009', u'row': u'8047393010'}]",701568908,3476261511,8047393009,8047393010
158,"[{u'col': u'8047393795', u'row': u'8047393797'}]",701568909,3476261511,8047393795,8047393797
159,"[{u'col': u'8047394826', u'row': u'8047394827'}]",701568910,3476261511,8047394826,8047394827
160,"[{u'col': u'8047395469', u'row': u'8047395470'}]",701568911,3476261511,8047395469,8047395470
161,"[{u'col': u'8047396088', u'row': u'8047396089'}]",701568912,3476261511,8047396088,8047396089
162,"[{u'col': u'8047396530', u'row': u'8047396531'}]",701568913,3476261511,8047396530,8047396531
163,"[{u'col': u'8047397329', u'row': u'8047397330'}]",701568914,3476261511,8047397329,8047397330
164,"[{u'col': u'8047397955', u'row': u'8047397956'}]",701568915,3476261511,8047397955,8047397956
165,"[{u'col': u'8047398710', u'row': u'8047398711'}]",701568916,3476261511,8047398710,8047398711
166,"[{u'col': u'8047399272', u'row': u'8047399273'}]",701568917,3476261511,8047399272,8047399273
167,[{u'row': u'8048428303'}],701569440,3476261511,,8048428303
168,"[{u'col': u'8047355997', u'row': u'8047355998'}]",701569441,3476261511,8047355997,8047355998
169,"[{u'col': u'8047357088', u'row': u'8047357089'}]",701569442,3476261511,8047357088,8047357089
170,"[{u'col': u'8047357781', u'row': u'8047357782'}]",701569443,3476261511,8047357781,8047357782
171,"[{u'col': u'8047358544', u'row': u'8047358546'}]",701569444,3476261511,8047358544,8047358546
172,"[{u'col': u'8047359552', u'row': u'8047359553'}]",701569445,3476261511,8047359552,8047359553
173,"[{u'col': u'8047359948', u'row': u'8047359949'}]",701569446,3476261511,8047359948,8047359949
174,"[{u'col': u'8047360992', u'row': u'8047360993'}]",701569447,3476261511,8047360992,8047360993
175,"[{u'col': u'8047362402', u'row': u'8047362403'}]",701569448,3476261511,8047362402,8047362403
176,"[{u'col': u'8047364536', u'row': u'8047364537'}]",701569449,3476261511,8047364536,8047364537
177,"[{u'col': u'8047366261', u'row': u'8047366262'}]",701569450,3476261511,8047366261,8047366262
178,"[{u'col': u'8047367478', u'row': u'8047367479'}]",701569451,3476261511,8047367478,8047367479
179,"[{u'col': u'8047368370', u'row': u'8047368371'}]",701569452,3476261511,8047368370,8047368371
180,"[{u'col': u'8047369271', u'row': u'8047369272'}]",701569453,3476261511,8047369271,8047369272
181,"[{u'col': u'8047371083', u'row': u'8047371084'}]",701569454,3476261511,8047371083,8047371084
182,"[{u'col': u'8047371716', u'row': u'8047371717'}]",701569455,3476261511,8047371716,8047371717
183,"[{u'col': u'8047372368', u'row': u'8047372369'}]",701569456,3476261511,8047372368,8047372369
184,"[{u'col': u'8047374078', u'row': u'8047374079'}]",701569457,3476261511,8047374078,8047374079
185,"[{u'col': u'8047375102', u'row': u'8047375103'}]",701569458,3476261511,8047375102,8047375103
186,[{u'row': u'8046374150'}],701541529,3476136366,,8046374150
187,[{u'row': u'8046074292'}],701542059,3476136366,,8046074292
188,[{u'row': u'8046076814'}],701542308,3476136366,,8046076814
189,[{u'row': u'8046079807'}],701542637,3476136366,,8046079807
190,"[{u'col': u'8048406415', u'row': u'8048406417'}]",701543957,3476136366,8048406415,8048406417
191,"[{u'col': u'8048406789', u'row': u'8048406792'}]",701544253,3476136366,8048406789,8048406792
192,"[{u'col': u'8048407196', u'row': u'8048407198'}]",701544459,3476136366,8048407196,8048407198
193,"[{u'col': u'8048407399', u'row': u'8048407401'}]",701545007,3476136366,8048407399,8048407401
194,"[{u'col': u'8048407848', u'row': u'8048407851'}]",701545279,3476136366,8048407848,8048407851
195,"[{u'col': u'8048407992', u'row': u'8048407995'}]",701545540,3476136366,8048407992,8048407995
196,"[{u'col': u'8048408316', u'row': u'8048408320'}]",701545910,3476136366,8048408316,8048408320
197,"[{u'col': u'8048408629', u'row': u'8048408633'}]",701546058,3476136366,8048408629,8048408633
198,"[{u'col': u'8048408888', u'row': u'8048408891'}]",701546272,3476136366,8048408888,8048408891
199,"[{u'col': u'8048409178', u'row': u'8048409181'}]",701546480,3476136366,8048409178,8048409181
200,"[{u'col': u'8048409657', u'row': u'8048409661'}]",701546663,3476136366,8048409657,8048409661
201,"[{u'col': u'8048409808', u'row': u'8048409810'}]",701546895,3476136366,8048409808,8048409810
202,"[{u'col': u'8048410162', u'row': u'8048410166'}]",701547461,3476136366,8048410162,8048410166
203,"[{u'col': u'8048410390', u'row': u'8048410393'}]",701547599,3476136366,8048410390,8048410393
204,"[{u'col': u'8048410658', u'row': u'8048410659'}]",701547864,3476136366,8048410658,8048410659
205,"[{u'col': u'8048410867', u'row': u'8048410869'}]",701548022,3476136366,8048410867,8048410869
206,"[{u'col': u'8048411170', u'row': u'8048411171'}]",701548283,3476136366,8048411170,8048411171
