,answers,question_id,respondent_id,col,row,heading,type.family,type.subtype,text_y,position_y,question_heading
46,[{u'row': u'8046374152'}],701541529,3470849534,,8046374152,I am between: ,single_choice,horiz,26-33 years old,2.0,701541529_I am between: 
47,[{u'row': u'8046374152'}],701541529,3470414174,,8046374152,I am between: ,single_choice,horiz,26-33 years old,2.0,701541529_I am between: 
48,[{u'row': u'8046374152'}],701541529,3470398091,,8046374152,I am between: ,single_choice,horiz,26-33 years old,2.0,701541529_I am between: 
49,[{u'row': u'8046374152'}],701541529,3470220950,,8046374152,I am between: ,single_choice,horiz,26-33 years old,2.0,701541529_I am between: 
50,[{u'row': u'8046074292'}],701542059,3477006312,,8046074292,I have been employed at MHA for: ,single_choice,horiz,<2 years,1.0,701542059_I have been employed at MHA for: 
51,[{u'row': u'8046074292'}],701542059,3476990271,,8046074292,I have been employed at MHA for: ,single_choice,horiz,<2 years,1.0,701542059_I have been employed at MHA for: 
52,[{u'row': u'8046074292'}],701542059,3476608302,,8046074292,I have been employed at MHA for: ,single_choice,horiz,<2 years,1.0,701542059_I have been employed at MHA for: 
53,[{u'row': u'8046074292'}],701542059,3476261511,,8046074292,I have been employed at MHA for: ,single_choice,horiz,<2 years,1.0,701542059_I have been employed at MHA for: 
54,[{u'row': u'8046074292'}],701542059,3476136366,,8046074292,I have been employed at MHA for: ,single_choice,horiz,<2 years,1.0,701542059_I have been employed at MHA for: 
55,[{u'row': u'8046074292'}],701542059,3475874211,,8046074292,I have been employed at MHA for: ,single_choice,horiz,<2 years,1.0,701542059_I have been employed at MHA for: 
56,[{u'row': u'8046074292'}],701542059,3475449067,,8046074292,I have been employed at MHA for: ,single_choice,horiz,<2 years,1.0,701542059_I have been employed at MHA for: 
57,[{u'row': u'8046074292'}],701542059,3475188757,,8046074292,I have been employed at MHA for: ,single_choice,horiz,<2 years,1.0,701542059_I have been employed at MHA for: 
58,[{u'row': u'8046074292'}],701542059,3474618594,,8046074292,I have been employed at MHA for: ,single_choice,horiz,<2 years,1.0,701542059_I have been employed at MHA for: 
59,[{u'row': u'8046074292'}],701542059,3474575463,,8046074292,I have been employed at MHA for: ,single_choice,horiz,<2 years,1.0,701542059_I have been employed at MHA for: 
60,[{u'row': u'8046074292'}],701542059,3474448137,,8046074292,I have been employed at MHA for: ,single_choice,horiz,<2 years,1.0,701542059_I have been employed at MHA for: 
61,[{u'row': u'8046074292'}],701542059,3474149564,,8046074292,I have been employed at MHA for: ,single_choice,horiz,<2 years,1.0,701542059_I have been employed at MHA for: 
62,[{u'row': u'8046074292'}],701542059,3473996226,,8046074292,I have been employed at MHA for: ,single_choice,horiz,<2 years,1.0,701542059_I have been employed at MHA for: 
63,[{u'row': u'8046074292'}],701542059,3473984055,,8046074292,I have been employed at MHA for: ,single_choice,horiz,<2 years,1.0,701542059_I have been employed at MHA for: 
64,[{u'row': u'8046074292'}],701542059,3473843369,,8046074292,I have been employed at MHA for: ,single_choice,horiz,<2 years,1.0,701542059_I have been employed at MHA for: 
65,[{u'row': u'8046074292'}],701542059,3473831485,,8046074292,I have been employed at MHA for: ,single_choice,horiz,<2 years,1.0,701542059_I have been employed at MHA for: 
66,[{u'row': u'8046074292'}],701542059,3473230773,,8046074292,I have been employed at MHA for: ,single_choice,horiz,<2 years,1.0,701542059_I have been employed at MHA for: 
67,[{u'row': u'8046074292'}],701542059,3473085361,,8046074292,I have been employed at MHA for: ,single_choice,horiz,<2 years,1.0,701542059_I have been employed at MHA for: 
68,[{u'row': u'8046074292'}],701542059,3473067435,,8046074292,I have been employed at MHA for: ,single_choice,horiz,<2 years,1.0,701542059_I have been employed at MHA for: 
69,[{u'row': u'8046074292'}],701542059,3471210102,,8046074292,I have been employed at MHA for: ,single_choice,horiz,<2 years,1.0,701542059_I have been employed at MHA for: 
70,[{u'row': u'8046074292'}],701542059,3471140384,,8046074292,I have been employed at MHA for: ,single_choice,horiz,<2 years,1.0,701542059_I have been employed at MHA for: 
71,[{u'row': u'8046074292'}],701542059,3470947152,,8046074292,I have been employed at MHA for: ,single_choice,horiz,<2 years,1.0,701542059_I have been employed at MHA for: 
72,[{u'row': u'8046074292'}],701542059,3470907035,,8046074292,I have been employed at MHA for: ,single_choice,horiz,<2 years,1.0,701542059_I have been employed at MHA for: 
73,[{u'row': u'8046074292'}],701542059,3470906332,,8046074292,I have been employed at MHA for: ,single_choice,horiz,<2 years,1.0,701542059_I have been employed at MHA for: 
74,[{u'row': u'8046074292'}],701542059,3470891561,,8046074292,I have been employed at MHA for: ,single_choice,horiz,<2 years,1.0,701542059_I have been employed at MHA for: 
75,[{u'row': u'8046074292'}],701542059,3470849534,,8046074292,I have been employed at MHA for: ,single_choice,horiz,<2 years,1.0,701542059_I have been employed at MHA for: 
76,[{u'row': u'8046074292'}],701542059,3470398091,,8046074292,I have been employed at MHA for: ,single_choice,horiz,<2 years,1.0,701542059_I have been employed at MHA for: 
77,[{u'row': u'8046074292'}],701542059,3470253432,,8046074292,I have been employed at MHA for: ,single_choice,horiz,<2 years,1.0,701542059_I have been employed at MHA for: 
78,[{u'row': u'8046074292'}],701542059,3470226906,,8046074292,I have been employed at MHA for: ,single_choice,horiz,<2 years,1.0,701542059_I have been employed at MHA for: 
79,[{u'row': u'8046074292'}],701542059,3470226804,,8046074292,I have been employed at MHA for: ,single_choice,horiz,<2 years,1.0,701542059_I have been employed at MHA for: 
80,[{u'row': u'8046074292'}],701542059,3470220950,,8046074292,I have been employed at MHA for: ,single_choice,horiz,<2 years,1.0,701542059_I have been employed at MHA for: 
81,[{u'row': u'8046074293'}],701542059,3476473331,,8046074293,I have been employed at MHA for: ,single_choice,horiz,3-5 years,2.0,701542059_I have been employed at MHA for: 
82,[{u'row': u'8046074293'}],701542059,3471709160,,8046074293,I have been employed at MHA for: ,single_choice,horiz,3-5 years,2.0,701542059_I have been employed at MHA for: 
83,[{u'row': u'8046074293'}],701542059,3470902797,,8046074293,I have been employed at MHA for: ,single_choice,horiz,3-5 years,2.0,701542059_I have been employed at MHA for: 
84,[{u'row': u'8046074293'}],701542059,3470850197,,8046074293,I have been employed at MHA for: ,single_choice,horiz,3-5 years,2.0,701542059_I have been employed at MHA for: 
85,[{u'row': u'8046074293'}],701542059,3470832454,,8046074293,I have been employed at MHA for: ,single_choice,horiz,3-5 years,2.0,701542059_I have been employed at MHA for: 
86,[{u'row': u'8046074293'}],701542059,3470232721,,8046074293,I have been employed at MHA for: ,single_choice,horiz,3-5 years,2.0,701542059_I have been employed at MHA for: 
87,[{u'row': u'8046074294'}],701542059,3474794291,,8046074294,I have been employed at MHA for: ,single_choice,horiz,5-7 years,3.0,701542059_I have been employed at MHA for: 
88,[{u'row': u'8046074294'}],701542059,3473964533,,8046074294,I have been employed at MHA for: ,single_choice,horiz,5-7 years,3.0,701542059_I have been employed at MHA for: 
89,[{u'row': u'8046074294'}],701542059,3471232645,,8046074294,I have been employed at MHA for: ,single_choice,horiz,5-7 years,3.0,701542059_I have been employed at MHA for: 
90,[{u'row': u'8046074294'}],701542059,3470414174,,8046074294,I have been employed at MHA for: ,single_choice,horiz,5-7 years,3.0,701542059_I have been employed at MHA for: 
91,[{u'row': u'8046074294'}],701542059,3470258609,,8046074294,I have been employed at MHA for: ,single_choice,horiz,5-7 years,3.0,701542059_I have been employed at MHA for: 
92,[{u'row': u'8046074294'}],701542059,3470226947,,8046074294,I have been employed at MHA for: ,single_choice,horiz,5-7 years,3.0,701542059_I have been employed at MHA for: 
